SYMBOL,SECTOR,MARKET_CAP
BIL,Consumer Cyclical,991.5
BILVYAPAR,Basic Materials,18.58
BIOCON,Healthcare,55065.36
BIOFILCHEM,Healthcare,53.41
BIRLACABLE,Technology,355.44
BIRLACORPN,Basic Materials,6734.38
BIRLAMONEY,Financial Services,642.74
BIRLANU,Industrials,1054.41
BLACKBUCK,Technology,10214.24
BLAL,Financial Services,689.53
BLBLIMITED,Financial Services,92.45
BLISSGVS,Healthcare,2509.31
BLKASHYAP,Industrials,1030.0
BLS,Industrials,11099.19
BLSE,Industrials,1424.27
BLUECOAST,Consumer Cyclical,37.29
BLUEDART,Industrials,11648.28
BLUEJET,Healthcare,6202.26
BLUESTARCO,Industrials,31671.26
BLUESTONE,Consumer Cyclical,6437.86
BLUSPRING,Industrials,885.32
BMWVENTLTD,Basic Materials,472.08
BODALCHEM,Basic Materials,809.32
BOHRAIND,Basic Materials,18.81
BOMDYEING,Consumer Cyclical,2107.28
BONLON,Basic Materials,0.0
BORANA,Consumer Cyclical,865.97
BOROLTD,Consumer Cyclical,2844.98
BORORENEW,Technology,5919.6
BOROSCI,Consumer Cyclical,1009.54
BOSCH-HCIL,Consumer Cyclical,3167.86
BOSCHLTD,Consumer Cyclical,98669.82
BPCL,Energy,120371.85
BPL,Technology,220.49
BRIGADE,Real Estate,16913.64
BRIGHOTEL,Consumer Cyclical,2278.3
BRITANNIA,Consumer Defensive,133489.2
BRNL,Industrials,167.56
BROOKS,Healthcare,216.01
BSE,Financial Services,119840.57
BSHSL,Basic Materials,1177.19
BSL,Consumer Cyclical,114.06
BSOFT,Technology,10279.51
BTML,Communication Services,113.2
BUILDPRO,Consumer Cyclical,2613.71
BUTTERFLY,Consumer Cyclical,1106.65
BVCL,Basic Materials,87.42
BYKE,Consumer Cyclical,190.92
CALSOFT,Technology,71.35
CAMLINFINE,Basic Materials,1995.06
CAMPUS,Consumer Cyclical,7097.1
CAMS,Technology,16681.92
CANBK,Financial Services,117474.0
CANFINHOME,Financial Services,10908.8
CANHLIFE,Financial Services,13766.69
CANTABIL,Consumer Cyclical,1918.21
CAPACITE,Industrials,1791.6
CAPILLARY,Technology,4009.61
CAPITALSFB,Financial Services,1109.94
CAPLIPOINT,Healthcare,12262.33
CAPTRUST,Financial Services,41.57
CARBORUNIV,Industrials,16306.28
CARERATING,Financial Services,4665.1
CARRARO,Consumer Cyclical,2703.57
CARTRADE,Consumer Cyclical,8448.26
CARYSIL,Consumer Cyclical,2289.82
CASTROLIND,Energy,17650.89
CCAVENUE,Technology,5228.49
CCCL,Industrials,694.26
CCHHL,Consumer Cyclical,191.09
CCL,Consumer Defensive,15292.13
CDSL,Financial Services,25153.15
CEATLTD,Consumer Cyclical,13687.88
CEIGALL,Industrials,4850.47
CEINSYS,Industrials,2129.96
CELEBRITY,Consumer Cyclical,44.99
CELLO,Consumer Cyclical,8896.4
CEMPRO,Industrials,9657.04
CENTENKA,Consumer Cyclical,869.71
CENTEXT,Basic Materials,165.81
CENTRALBK,Financial Services,30628.21
CENTRUM,Financial Services,1383.5
CENTUM,Technology,4006.63
CENTURYPLY,Basic Materials,15917.58
CERA,Industrials,6200.4
CEREBRAINT,Industrials,55.54
CESC,Utilities,20324.97
CEWATER,Utilities,629.99
CGCL,Financial Services,16358.54
